+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 1257  | 0   | 871   | 0   | 386  | 0   | GET    | /api/trend                                          | 0.004 | 1.016 | 1075.361 | 0.855 | 1.000 | 1.004 | 1.008 | 0.164  | 0.000      | 8567.000   | 7092547.000  | 5642.440   |
| 2     | 0   | 1     | 0   | 0    | 1   | POST   | /initialize                                         | 0.052 | 0.124 | 0.176    | 0.088 | 0.124 | 0.124 | 0.124 | 0.036  | 23.000     | 23.000     | 23.000       | 11.500     |
| 60    | 0   | 56    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.120 | 3.544    | 0.059 | 0.076 | 0.080 | 0.120 | 0.019  | 15.000     | 157.000    | 7858.000     | 130.967    |
| 340   | 0   | 336   | 0   | 4    | 0   | GET    | /api/isu/d89b71e3-cd6b-4918-8ed5-1eb2728b32ec/graph | 0.004 | 0.136 | 7.124    | 0.021 | 0.040 | 0.052 | 0.076 | 0.016  | 14.000     | 6550.000   | 1556909.000  | 4579.144   |
| 213   | 0   | 204   | 0   | 9    | 0   | GET    | /api/isu/f1f5b4d8-916e-4d77-a838-a1d8c1856e67/graph | 0.020 | 0.164 | 4.411    | 0.021 | 0.040 | 0.052 | 0.076 | 0.019  | 0.000      | 7060.000   | 940695.000   | 4416.408   |
| 8892  | 0   | 8272  | 0   | 620  | 0   | GET    | /api/condition/[a-z0-9-]+                           | 0.012 | 0.180 | 184.092  | 0.021 | 0.040 | 0.052 | 0.080 | 0.017  | 0.000      | 7196.000   | 41050023.000 | 4616.512   |
| 59    | 0   | 59    | 0   | 0    | 0   | GET    | /api/isu/c75d0bce-8ba4-47eb-8723-48a4a0324337/graph | 0.004 | 0.084 | 1.216    | 0.021 | 0.040 | 0.060 | 0.084 | 0.017  | 2691.000   | 7685.000   | 283623.000   | 4807.169   |
| 5691  | 0   | 5602  | 0   | 89   | 0   | GET    | /api/isu                                            | 0.004 | 0.172 | 111.289  | 0.020 | 0.036 | 0.048 | 0.068 | 0.014  | 0.000      | 10000.000  | 15569779.000 | 2735.860   |
| 455   | 0   | 451   | 0   | 4    | 0   | GET    | /api/isu/cb96d5c5-2bd8-4e80-8aee-7c013c8478d9/graph | 0.004 | 0.096 | 8.864    | 0.019 | 0.036 | 0.044 | 0.072 | 0.014  | 14.000     | 7197.000   | 2338433.000  | 5139.413   |
| 118   | 0   | 106   | 0   | 12   | 0   | GET    | /api/isu/d46e6167-7145-4403-8e14-7eeefce569f1/graph | 0.004 | 0.072 | 2.252    | 0.019 | 0.040 | 0.056 | 0.072 | 0.015  | 14.000     | 6543.000   | 508121.000   | 4306.110   |
| 369   | 0   | 353   | 0   | 16   | 0   | GET    | /api/isu/f1cf962f-efea-47c4-9b5f-2833fdb0b3eb/graph | 0.008 | 0.080 | 6.931    | 0.019 | 0.036 | 0.044 | 0.060 | 0.013  | 14.000     | 7392.000   | 1619577.000  | 4389.098   |
