+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| 1415  | 0   | 814   | 0   | 601  | 0   | GET    | /api/trend                                          | 0.004 | 1.032 | 1145.307 | 0.809 | 1.004 | 1.004 | 1.008 | 0.215  | 0.000     | 9491.000   | 6759140.000   | 4776.777   |
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.176 | 0.176 | 0.176    | 0.176 | 0.176 | 0.176 | 0.176 | 0.000  | 23.000    | 23.000     | 23.000        | 23.000     |
| 73    | 0   | 69    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.132 | 4.496    | 0.062 | 0.084 | 0.092 | 0.132 | 0.020  | 15.000    | 154.000    | 9602.000      | 131.534    |
| 9474  | 0   | 8895  | 0   | 579  | 0   | GET    | /api/condition/[a-z0-9-]+                           | 0.004 | 0.304 | 254.101  | 0.027 | 0.056 | 0.072 | 0.116 | 0.023  | 0.000     | 6963.000   | 44542944.000  | 4701.598   |
| 323   | 0   | 322   | 0   | 1    | 0   | GET    | /api/isu/a6b6c38b-c859-4959-beb8-c91fa7cc5b1b/graph | 0.004 | 0.132 | 8.344    | 0.026 | 0.052 | 0.068 | 0.100 | 0.020  | 0.000     | 8194.000   | 1851920.000   | 5733.498   |
| 26    | 0   | 26    | 0   | 0    | 0   | GET    | /api/isu/d66dc06b-1546-4784-83a9-90ba5b99d08e/graph | 0.004 | 0.080 | 0.632    | 0.024 | 0.048 | 0.048 | 0.080 | 0.017  | 2691.000  | 7044.000   | 127532.000    | 4905.077   |
| 27    | 0   | 27    | 0   | 0    | 0   | GET    | /api/isu/faa9f8fb-b6b0-4bd5-a9b7-8f44d875e060/graph | 0.004 | 0.104 | 0.648    | 0.024 | 0.056 | 0.076 | 0.104 | 0.024  | 2691.000  | 6545.000   | 123844.000    | 4586.815   |
| 5246  | 0   | 5160  | 0   | 86   | 0   | GET    | /api/isu                                            | 0.024 | 0.184 | 119.146  | 0.023 | 0.044 | 0.056 | 0.084 | 0.017  | 0.000     | 4636.000   | 14888706.000  | 2838.106   |
| 211   | 0   | 211   | 0   | 0    | 0   | GET    | /api/isu/a271241e-2c21-4a97-aefe-6749fc05a00a/graph | 0.004 | 0.116 | 4.660    | 0.022 | 0.044 | 0.060 | 0.092 | 0.018  | 2691.000  | 7113.000   | 1020043.000   | 4834.327   |
| 30    | 0   | 26    | 0   | 4    | 0   | GET    | /api/isu/d882deb3-32ad-434f-b967-5e46f254d4ef/graph | 0.016 | 0.080 | 0.652    | 0.022 | 0.036 | 0.044 | 0.080 | 0.015  | 14.000    | 7222.000   | 122784.000    | 4092.800   |
