+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 1747   | 0   | 1081   | 0   | 666  | 0   | GET    | /api/trend                                          | 0.004 | 1.028 | 1341.480 | 0.768 | 1.004 | 1.004 | 1.008 | 0.248  | 0.000      | 10079.000  | 9094915.000   | 5206.019   |
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.128 | 0.128 | 0.128    | 0.128 | 0.128 | 0.128 | 0.128 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 81     | 0   | 77     | 0   | 4    | 0   | POST   | /api/isu                                            | 0.052 | 0.124 | 4.928    | 0.061 | 0.076 | 0.084 | 0.124 | 0.017  | 15.000     | 154.000    | 10656.000     | 131.556    |
| 10271  | 0   | 9679   | 0   | 592  | 0   | GET    | /api/condition/[a-z0-9-]+                           | 0.004 | 0.228 | 258.900  | 0.025 | 0.052 | 0.068 | 0.100 | 0.021  | 0.000      | 6943.000   | 48321500.000  | 4704.654   |
| 29     | 0   | 29     | 0   | 0    | 0   | GET    | /api/isu/cb7641df-40e7-444f-9819-514362611667/graph | 0.004 | 0.164 | 0.712    | 0.025 | 0.052 | 0.060 | 0.164 | 0.030  | 2691.000   | 6403.000   | 133595.000    | 4606.724   |
| 16     | 0   | 16     | 0   | 0    | 0   | GET    | /api/isu/ef9febe5-1f2e-4987-971d-d20f451ab7ce/graph | 0.004 | 0.068 | 0.384    | 0.024 | 0.048 | 0.068 | 0.068 | 0.016  | 2691.000   | 5733.000   | 69675.000     | 4354.688   |
| 5969   | 0   | 5883   | 0   | 86   | 0   | GET    | /api/isu                                            | 0.012 | 0.164 | 130.776  | 0.022 | 0.040 | 0.052 | 0.084 | 0.016  | 0.000      | 4591.000   | 17007507.000  | 2849.306   |
| 73     | 0   | 69     | 0   | 4    | 0   | GET    | /api/isu/dc4ac82e-99b3-409b-855e-39db01a24fba/graph | 0.012 | 0.076 | 1.492    | 0.020 | 0.044 | 0.068 | 0.076 | 0.018  | 14.000     | 6822.000   | 351440.000    | 4814.247   |
| 81     | 0   | 77     | 0   | 4    | 0   | GET    | /api/isu/ead16ae0-d5c2-47f6-98d1-d1eaecfd5839/graph | 0.004 | 0.104 | 1.652    | 0.020 | 0.040 | 0.056 | 0.104 | 0.019  | 14.000     | 7098.000   | 381261.000    | 4706.926   |
| 75     | 0   | 75     | 0   | 0    | 0   | GET    | /api/isu/cd9f3239-e41f-40b0-b6a5-a07a982be484/graph | 0.004 | 0.176 | 1.508    | 0.020 | 0.032 | 0.036 | 0.176 | 0.022  | 2691.000   | 6071.000   | 324649.000    | 4328.653   |
| 25     | 0   | 25     | 0   | 0    | 0   | GET    | /api/isu/b3524437-1117-4b05-a941-8360ab7699de/graph | 0.004 | 0.136 | 0.492    | 0.020 | 0.028 | 0.036 | 0.136 | 0.025  | 2691.000   | 6237.000   | 104571.000    | 4182.840   |
| 38     | 0   | 38     | 0   | 0    | 0   | GET    | /api/isu/e5de0bcb-b180-45c1-8e3a-11ad9bd10c9d/graph | 0.004 | 0.056 | 0.732    | 0.019 | 0.040 | 0.056 | 0.056 | 0.014  | 2691.000   | 6731.000   | 175111.000    | 4608.184   |
| 31     | 0   | 27     | 0   | 4    | 0   | GET    | /api/isu/c1b81c25-6364-4074-bbb1-91826dd51809/graph | 0.004 | 0.120 | 0.592    | 0.019 | 0.044 | 0.064 | 0.120 | 0.023  | 14.000     | 6507.000   | 129790.000    | 4186.774   |
| 34     | 0   | 30     | 0   | 4    | 0   | GET    | /api/isu/aa4b98a7-a294-4db3-ac58-19b1b7da5e41/graph | 0.004 | 0.068 | 0.644    | 0.019 | 0.036 | 0.064 | 0.068 | 0.017  | 14.000     | 5879.000   | 134962.000    | 3969.471   |
| 198    | 0   | 182    | 0   | 16   | 0   | GET    | /api/isu/b8519141-3a89-4a09-9705-5ef588564590/graph | 0.004 | 0.128 | 3.712    | 0.019 | 0.040 | 0.048 | 0.076 | 0.016  | 14.000     | 6367.000   | 863498.000    | 4361.101   |
| 27     | 0   | 27     | 0   | 0    | 0   | GET    | /api/isu/ddecdb19-8fb5-4882-abda-a731a715628d/graph | 0.004 | 0.060 | 0.488    | 0.018 | 0.040 | 0.052 | 0.060 | 0.014  | 2691.000   | 6724.000   | 115950.000    | 4294.444   |
