+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| 1963   | 0   | 1641   | 0   | 322  | 0   | GET    | /api/trend                                          | 0.004 | 1.020 | 1383.376 | 0.705 | 1.000 | 1.000 | 1.008 | 0.223  | 0.000     | 10075.000  | 14591594.000  | 7433.313  |
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.160 | 0.160 | 0.160    | 0.160 | 0.160 | 0.160 | 0.160 | 0.000  | 23.000    | 23.000     | 23.000        | 23.000    |
| 81     | 0   | 77     | 0   | 4    | 0   | POST   | /api/isu                                            | 0.052 | 0.104 | 4.772    | 0.059 | 0.072 | 0.080 | 0.104 | 0.016  | 15.000    | 154.000    | 10669.000     | 131.716   |
| 30     | 0   | 30     | 0   | 0    | 0   | GET    | /api/isu/abf4728b-c0d3-4322-996b-5f359ff80f79/graph | 0.004 | 0.064 | 0.724    | 0.024 | 0.044 | 0.060 | 0.064 | 0.016  | 2691.000  | 7039.000   | 153160.000    | 5105.333  |
| 28     | 0   | 28     | 0   | 0    | 0   | GET    | /api/isu/f2a45522-c9d3-4238-b4bc-9087e70b5824/graph | 0.004 | 0.056 | 0.636    | 0.023 | 0.044 | 0.044 | 0.056 | 0.014  | 2691.000  | 7257.000   | 132147.000    | 4719.536  |
| 449    | 0   | 440    | 0   | 9    | 0   | GET    | /api/isu/e291ef01-07d2-4b2b-bed0-bbc865adea70/graph | 0.004 | 0.172 | 9.152    | 0.020 | 0.036 | 0.048 | 0.084 | 0.017  | 0.000     | 6213.000   | 2167980.000   | 4828.463  |
| 89     | 0   | 85     | 0   | 4    | 0   | GET    | /api/isu/d187a18e-9ba4-4098-af45-9b5d60d3f578/graph | 0.004 | 0.148 | 1.752    | 0.020 | 0.040 | 0.044 | 0.148 | 0.019  | 14.000    | 6579.000   | 395950.000    | 4448.876  |
| 7242   | 0   | 7154   | 0   | 88   | 0   | GET    | /api/isu                                            | 0.004 | 0.192 | 140.300  | 0.019 | 0.036 | 0.044 | 0.068 | 0.013  | 0.000     | 10000.000  | 20885685.000  | 2883.966  |
| 124    | 0   | 120    | 0   | 4    | 0   | GET    | /api/isu/f3c7f2f4-5a5e-4fd8-942e-9e643db44a94/graph | 0.012 | 0.076 | 2.396    | 0.019 | 0.032 | 0.048 | 0.056 | 0.013  | 14.000    | 7344.000   | 602421.000    | 4858.234  |
