+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 3      | 0   | 3      | 0    | 0    | 0   | GET    | /api/isu/aa109ce2-3752-4a52-a656-0e8eb194b87f/icon  | 0.016 | 0.836 | 1.572    | 0.524 | 0.836 | 0.836 | 0.836 | 0.362  | 6969.000   | 6969.000   | 20907.000    | 6969.000   |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /api/isu/afe7eaf9-c0e8-483b-b70e-7e9ed5673d61       | 0.460 | 0.460 | 0.460    | 0.460 | 0.460 | 0.460 | 0.460 | 0.000  | 131.000    | 131.000    | 131.000      | 131.000    |
| 4      | 0   | 4      | 0    | 0    | 0   | GET    | /api/isu/cfc98939-39f8-4f28-bb5f-f5a6bff38690       | 0.016 | 0.816 | 1.836    | 0.459 | 0.816 | 0.816 | 0.816 | 0.308  | 143.000    | 143.000    | 572.000      | 143.000    |
| 2      | 0   | 2      | 0    | 0    | 0   | GET    | /api/isu/ab6f229d-ff8f-4a0a-bb7a-5677d337550f       | 0.160 | 0.476 | 0.636    | 0.318 | 0.476 | 0.476 | 0.476 | 0.158  | 149.000    | 149.000    | 298.000      | 149.000    |
| 4      | 0   | 3      | 0    | 1    | 0   | GET    | /api/isu/c99c7fdb-2aaf-4c03-9360-675427a98286/icon  | 0.004 | 1.004 | 1.220    | 0.305 | 1.004 | 1.004 | 1.004 | 0.410  | 28225.000  | 28225.000  | 84675.000    | 21168.750  |
| 2      | 0   | 2      | 0    | 0    | 0   | GET    | /api/isu/cffadd04-8ce4-4df8-a871-794a4231efbb/icon  | 0.044 | 0.548 | 0.592    | 0.296 | 0.548 | 0.548 | 0.548 | 0.252  | 118677.000 | 118677.000 | 237354.000   | 118677.000 |
| 6      | 0   | 6      | 0    | 0    | 0   | GET    | /api/isu/e13fea31-d82c-494b-a500-0a4bf3dbf5c5/icon  | 0.012 | 0.900 | 1.696    | 0.283 | 0.900 | 0.900 | 0.900 | 0.321  | 4688.000   | 4688.000   | 28128.000    | 4688.000   |
| 3      | 0   | 1      | 0    | 2    | 0   | GET    | /api/isu/fe1eaf1d-2cdb-42d9-9654-7c82fac3aa72/icon  | 0.008 | 0.820 | 0.828    | 0.276 | 0.820 | 0.820 | 0.820 | 0.385  | 14.000     | 24446.000  | 24481.000    | 8160.333   |
| 4      | 0   | 4      | 0    | 0    | 0   | GET    | /api/isu/d4f7d24f-b990-4577-9c40-dce987933238       | 0.012 | 0.572 | 1.084    | 0.271 | 0.572 | 0.572 | 0.572 | 0.205  | 131.000    | 131.000    | 524.000      | 131.000    |
| 7      | 0   | 6      | 0    | 1    | 0   | GET    | /api/isu/e5f5ecc5-8a43-4ea6-a2da-61c4758639e5/icon  | 0.008 | 1.004 | 1.836    | 0.262 | 1.004 | 1.004 | 1.004 | 0.323  | 30402.000  | 30402.000  | 182412.000   | 26058.857  |
| 6      | 0   | 6      | 0    | 0    | 0   | GET    | /api/isu/cfc98939-39f8-4f28-bb5f-f5a6bff38690/icon  | 0.068 | 0.704 | 1.536    | 0.256 | 0.704 | 0.704 | 0.704 | 0.221  | 8271.000   | 8271.000   | 49626.000    | 8271.000   |
| 2      | 0   | 2      | 0    | 0    | 0   | GET    | /api/isu/dc6f9b7c-ddb5-4b3e-aa21-398eef1022e1/icon  | 0.072 | 0.416 | 0.488    | 0.244 | 0.416 | 0.416 | 0.416 | 0.172  | 51650.000  | 51650.000  | 103300.000   | 51650.000  |
