+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 1      | 0   | 0      | 0    | 1    | 0   | GET    | /api/isu/bfe7ecbc-234c-4bf7-8bbe-a697414347a8/icon  | 1.004 | 1.004 | 1.004    | 1.004 | 1.004 | 1.004 | 1.004 | 0.000  | 0.000     | 0.000     | 0.000        | 0.000     |
| 1      | 0   | 0      | 0    | 1    | 0   | GET    | /api/isu/eef2c342-3494-4a70-b947-21711d419d7d/icon  | 1.004 | 1.004 | 1.004    | 1.004 | 1.004 | 1.004 | 1.004 | 0.000  | 0.000     | 0.000     | 0.000        | 0.000     |
| 1      | 0   | 0      | 0    | 1    | 0   | GET    | /api/isu/d5df3cfb-cfe6-45d3-967f-0c9c4850747e/icon  | 1.000 | 1.000 | 1.000    | 1.000 | 1.000 | 1.000 | 1.000 | 0.000  | 0.000     | 0.000     | 0.000        | 0.000     |
| 1      | 0   | 0      | 0    | 1    | 0   | GET    | /api/isu/aa90c869-a62c-4277-9e8b-d25ca121e528/icon  | 1.000 | 1.000 | 1.000    | 1.000 | 1.000 | 1.000 | 1.000 | 0.000  | 0.000     | 0.000     | 0.000        | 0.000     |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /api/isu/ea00e483-2469-4a01-b871-8213ffe2df1a       | 0.620 | 0.620 | 0.620    | 0.620 | 0.620 | 0.620 | 0.620 | 0.000  | 143.000   | 143.000   | 143.000      | 143.000   |
| 3      | 0   | 2      | 0    | 1    | 0   | GET    | /api/isu/c3b77745-6100-4550-b426-4f514aebee6b       | 0.060 | 1.004 | 1.200    | 0.400 | 1.004 | 1.004 | 1.004 | 0.428  | 140.000   | 140.000   | 280.000      | 93.333    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /api/isu/a1e7eafb-b52b-4aad-8c27-a4d0d1bccca0       | 0.356 | 0.356 | 0.356    | 0.356 | 0.356 | 0.356 | 0.356 | 0.000  | 128.000   | 128.000   | 128.000      | 128.000   |
| 3      | 0   | 0      | 0    | 3    | 0   | GET    | /api/isu/ef2b0d5a-1b22-4c44-a34f-6fd12e1c4e1d/icon  | 0.036 | 1.000 | 1.036    | 0.345 | 1.000 | 1.000 | 1.000 | 0.463  | 0.000     | 21.000    | 35.000       | 11.667    |
| 6      | 0   | 5      | 0    | 1    | 0   | GET    | /api/isu/db269601-f5b5-4bd7-bfaa-1a374ab2bad1       | 0.020 | 1.000 | 1.736    | 0.289 | 1.000 | 1.000 | 1.000 | 0.341  | 140.000   | 140.000   | 700.000      | 116.667   |
| 2      | 0   | 0      | 0    | 2    | 0   | GET    | /api/isu/cab99f63-bb3a-4648-b6df-376396f2c7ab/icon  | 0.508 | 0.508 | 0.508    | 0.254 | 0.508 | 0.508 | 0.508 | 0.254  | 14.000    | 21.000    | 35.000       | 17.500    |
| 5      | 0   | 5      | 0    | 0    | 0   | GET    | /api/isu/aa90c869-a62c-4277-9e8b-d25ca121e528/graph | 0.072 | 0.508 | 1.268    | 0.254 | 0.508 | 0.508 | 0.508 | 0.181  | 4043.000  | 7340.000  | 27480.000    | 5496.000  |
| 7      | 0   | 7      | 0    | 0    | 0   | GET    | /api/isu/db269601-f5b5-4bd7-bfaa-1a374ab2bad1/graph | 0.008 | 0.612 | 1.732    | 0.247 | 0.612 | 0.612 | 0.612 | 0.263  | 3638.000  | 5821.000  | 35109.000    | 5015.571  |
| 6      | 0   | 6      | 0    | 0    | 0   | GET    | /api/isu/dcc537e2-38fa-48c7-99a3-0f77dbf9d381/graph | 0.016 | 0.680 | 1.440    | 0.240 | 0.680 | 0.680 | 0.680 | 0.246  | 2691.000  | 6404.000  | 28119.000    | 4686.500  |
| 7      | 0   | 7      | 0    | 0    | 0   | GET    | /api/isu/d577d0a4-0966-4996-b8ae-f968d00e4b9b/graph | 0.012 | 0.872 | 1.576    | 0.225 | 0.872 | 0.872 | 0.872 | 0.287  | 3396.000  | 5988.000  | 33595.000    | 4799.286  |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /api/isu/f70f3cd8-bd7d-48dc-8d34-b445fd2909f1       | 0.208 | 0.208 | 0.208    | 0.208 | 0.208 | 0.208 | 0.208 | 0.000  | 149.000   | 149.000   | 149.000      | 149.000   |
| 5      | 0   | 5      | 0    | 0    | 0   | GET    | /api/isu/aa90c869-a62c-4277-9e8b-d25ca121e528       | 0.016 | 0.436 | 1.028    | 0.206 | 0.436 | 0.436 | 0.436 | 0.162  | 137.000   | 137.000   | 685.000      | 137.000   |
| 20     | 0   | 19     | 0    | 1    | 0   | GET    | /api/isu/da0d44ab-e114-49d6-8236-16a6809167a8/graph | 0.012 | 1.004 | 3.840    | 0.192 | 0.476 | 0.528 | 1.004 | 0.233  | 4218.000  | 6391.000  | 94904.000    | 4745.200  |
| 8      | 0   | 8      | 0    | 0    | 0   | GET    | /api/isu/fb00876c-d5c3-49fb-b5b8-abc013482400/graph | 0.020 | 0.616 | 1.500    | 0.187 | 0.616 | 0.616 | 0.616 | 0.200  | 2691.000  | 6354.000  | 43212.000    | 5401.500  |
| 11     | 0   | 11     | 0    | 0    | 0   | GET    | /api/isu/ade0f0f0-da20-4072-80dc-58e9681b6d35       | 0.008 | 0.520 | 2.020    | 0.184 | 0.336 | 0.520 | 0.520 | 0.165  | 149.000   | 149.000   | 1639.000     | 149.000   |
| 12     | 0   | 12     | 0    | 0    | 0   | GET    | /api/isu/ab4d025f-5a46-4769-9fbb-b43e10bc864f       | 0.004 | 0.688 | 2.156    | 0.180 | 0.376 | 0.688 | 0.688 | 0.198  | 134.000   | 134.000   | 1608.000     | 134.000   |
| 7577   | 0   | 7477   | 0    | 100  | 0   | GET    | /api/trend                                          | 0.004 | 1.036 | 1348.376 | 0.178 | 0.412 | 0.563 | 1.000 | 0.189  | 0.000     | 17995.000 | 85527576.000 | 11287.789 |
