+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   |  3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| 2      | 0   | 1      | 0     | 1    | 0   | GET    | /api/isu/cb94fe24-7893-4a8a-860c-95c7f0fd9efe       | 0.888 | 1.000 | 1.888    | 0.944 | 1.000 | 1.000 | 1.000 | 0.056  | 140.000   | 140.000   | 140.000       | 70.000    |
| 2      | 0   | 1      | 0     | 1    | 0   | GET    | /api/isu/ad417f47-5618-426d-9087-ea53cf973929       | 0.092 | 1.012 | 1.104    | 0.552 | 1.012 | 1.012 | 1.012 | 0.460  | 131.000   | 131.000   | 131.000       | 65.500    |
| 12     | 0   | 8      | 0     | 4    | 0   | GET    | /api/isu/d453f170-cf94-4507-b135-3c409116bfa9       | 0.024 | 1.040 | 5.852    | 0.488 | 1.000 | 1.040 | 1.040 | 0.429  | 0.000     | 137.000   | 1096.000      | 91.333    |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/be06a641-a4d7-4ddf-a25f-313dce61a064/graph | 0.008 | 0.892 | 1.640    | 0.410 | 0.892 | 0.892 | 0.892 | 0.352  | 3360.000  | 5403.000  | 18007.000     | 4501.750  |
| 5      | 0   | 3      | 0     | 2    | 0   | GET    | /api/isu/eb86a844-af12-4dee-ad67-6920e93a8d60       | 0.036 | 1.000 | 2.004    | 0.401 | 1.000 | 1.000 | 1.000 | 0.376  | 0.000     | 131.000   | 393.000       | 78.600    |
| 4      | 0   | 3      | 0     | 1    | 0   | GET    | /api/isu/a0dc5f99-d5c8-4986-bfb6-837e9a6878a0       | 0.020 | 1.004 | 1.404    | 0.351 | 1.004 | 1.004 | 1.004 | 0.389  | 137.000   | 137.000   | 411.000       | 102.750   |
| 2      | 0   | 1      | 0     | 1    | 0   | GET    | /api/isu/c0074527-7bef-4f76-821e-a1872a318444       | 0.076 | 0.624 | 0.700    | 0.350 | 0.624 | 0.624 | 0.624 | 0.274  | 0.000     | 137.000   | 137.000       | 68.500    |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/a6969cf4-1c60-405d-bbb4-630aba846af5       | 0.348 | 0.348 | 0.348    | 0.348 | 0.348 | 0.348 | 0.348 | 0.000  | 131.000   | 131.000   | 131.000       | 131.000   |
| 6      | 0   | 5      | 0     | 1    | 0   | GET    | /api/isu/f0a56377-9fb6-42e8-a90f-a772903350cd       | 0.028 | 1.000 | 2.076    | 0.346 | 1.000 | 1.000 | 1.000 | 0.422  | 134.000   | 134.000   | 670.000       | 111.667   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/b070fd7b-edad-435f-b1cb-c3c4c60a936b       | 0.332 | 0.332 | 0.332    | 0.332 | 0.332 | 0.332 | 0.332 | 0.000  | 128.000   | 128.000   | 128.000       | 128.000   |
