+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/b4a58e3f-8ed9-4573-8b64-c77a64964e3a       | 0.676 | 0.676 | 0.676    | 0.676 | 0.676 | 0.676 | 0.676 | 0.000  | 126.000   | 126.000   | 126.000       | 126.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/c2079fd8-1ad3-4c44-9274-91f303e33f51       | 0.424 | 0.424 | 0.424    | 0.424 | 0.424 | 0.424 | 0.424 | 0.000  | 123.000   | 123.000   | 123.000       | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ce865442-2f45-4f6c-bad4-df3049c64453       | 0.340 | 0.340 | 0.340    | 0.340 | 0.340 | 0.340 | 0.340 | 0.000  | 117.000   | 117.000   | 117.000       | 117.000   |
| 1      | 0   | 0      | 0   | 1    | 0   | GET    | /api/isu/e3c56bfd-02fe-4504-93fb-3f8aa15bbe1b       | 0.300 | 0.300 | 0.300    | 0.300 | 0.300 | 0.300 | 0.300 | 0.000  | 0.000     | 0.000     | 0.000         | 0.000     |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f3c5a377-5390-4eda-8171-4444118b1442       | 0.288 | 0.288 | 0.288    | 0.288 | 0.288 | 0.288 | 0.288 | 0.000  | 123.000   | 123.000   | 123.000       | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/e4793078-e722-46c8-9cb9-1f1df5965761       | 0.236 | 0.236 | 0.236    | 0.236 | 0.236 | 0.236 | 0.236 | 0.000  | 123.000   | 123.000   | 123.000       | 123.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/bcd7d6f5-0f40-4e22-9960-f2b78f57616a/graph | 0.008 | 0.812 | 1.480    | 0.211 | 0.812 | 0.812 | 0.812 | 0.269  | 1970.000  | 2736.000  | 16269.000     | 2324.143  |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ed1a6f08-cdc2-4472-b738-f70f045fe3dd       | 0.188 | 0.188 | 0.188    | 0.188 | 0.188 | 0.188 | 0.188 | 0.000  | 123.000   | 123.000   | 123.000       | 123.000   |
| 415    | 0   | 407    | 0   | 7    | 1   | POST   | /api/isu                                            | 0.044 | 1.064 | 75.515   | 0.182 | 0.332 | 0.423 | 0.716 | 0.135  | 0.000     | 141.000   | 49630.000     | 119.590   |
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.164 | 0.164 | 0.164    | 0.164 | 0.164 | 0.164 | 0.164 | 0.000  | 18.000    | 18.000    | 18.000        | 18.000    |
| 2      | 0   | 1      | 0   | 1    | 0   | GET    | /api/isu/e2f5f48d-f8a4-45f8-a272-d837750a08ac       | 0.012 | 0.312 | 0.324    | 0.162 | 0.312 | 0.312 | 0.312 | 0.150  | 0.000     | 120.000   | 120.000       | 60.000    |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/efbc4a4c-33ab-4f4f-a705-a1173b7d4a0c       | 0.160 | 0.160 | 0.160    | 0.160 | 0.160 | 0.160 | 0.160 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/c0c46d86-87f6-4696-9838-e4ccd21e4ce0/graph | 0.012 | 0.276 | 1.084    | 0.136 | 0.276 | 0.276 | 0.276 | 0.101  | 1970.000  | 3140.000  | 21824.000     | 2728.000  |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/d4f643b9-6e7f-4e85-8fac-500262e603d4/graph | 0.104 | 0.148 | 0.252    | 0.126 | 0.148 | 0.148 | 0.148 | 0.022  | 2352.000  | 2357.000  | 4709.000      | 2354.500  |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/aed655a1-acb9-43eb-b011-2b9322bd092e       | 0.116 | 0.116 | 0.116    | 0.116 | 0.116 | 0.116 | 0.116 | 0.000  | 117.000   | 117.000   | 117.000       | 117.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/f9dafee6-2584-4089-b35f-1611ce03d662       | 0.012 | 0.220 | 0.232    | 0.116 | 0.220 | 0.220 | 0.220 | 0.104  | 114.000   | 114.000   | 228.000       | 114.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/e23a821d-cc2a-4403-bbfd-2ee146dc655a       | 0.116 | 0.116 | 0.116    | 0.116 | 0.116 | 0.116 | 0.116 | 0.000  | 129.000   | 129.000   | 129.000       | 129.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/b811ac27-4165-41b1-a60f-725f175909dc/graph | 0.068 | 0.160 | 0.432    | 0.108 | 0.160 | 0.160 | 0.160 | 0.039  | 2165.000  | 2750.000  | 10199.000     | 2549.750  |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/faca785f-ef2a-4d44-9240-159728affee6       | 0.100 | 0.100 | 0.100    | 0.100 | 0.100 | 0.100 | 0.100 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
