+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| 457    | 0   | 451    | 0   | 6    | 0   | POST   | /api/isu                                            | 0.040 | 0.572 | 70.272  | 0.154 | 0.280 | 0.332 | 0.484 | 0.094  | 0.000     | 147.000   | 55064.000     | 120.490   |
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.148 | 0.148 | 0.148   | 0.148 | 0.148 | 0.148 | 0.148 | 0.000  | 18.000    | 18.000    | 18.000        | 18.000    |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d5734520-b7af-411c-8788-3da05efabc9f       | 0.056 | 0.056 | 0.056   | 0.056 | 0.056 | 0.056 | 0.056 | 0.000  | 123.000   | 123.000   | 123.000       | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/edc089e4-13c2-4c99-8954-4b3f638a6ad7       | 0.044 | 0.044 | 0.044   | 0.044 | 0.044 | 0.044 | 0.044 | 0.000  | 123.000   | 123.000   | 123.000       | 123.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/a795c3c0-f000-46fd-a086-668bca84b236/graph | 0.004 | 0.088 | 0.160   | 0.040 | 0.088 | 0.088 | 0.088 | 0.034  | 2246.000  | 3187.000  | 10807.000     | 2701.750  |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/b741432a-d837-4a60-9e16-63af55a5c746       | 0.004 | 0.064 | 0.144   | 0.036 | 0.064 | 0.064 | 0.064 | 0.021  | 115.000   | 115.000   | 460.000       | 115.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d7b1fc13-f1ee-4e50-a57f-806c79ff6800       | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/a96f0276-4fcc-4c42-91fa-de038fadc4f5/graph | 0.004 | 0.088 | 0.104   | 0.035 | 0.088 | 0.088 | 0.088 | 0.038  | 1970.000  | 2633.000  | 6573.000      | 2191.000  |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/fa5fc336-2ec8-47a0-b5c9-f12a6482bc6b       | 0.080 | 0.080 | 0.096   | 0.032 | 0.080 | 0.080 | 0.080 | 0.035  | 126.000   | 126.000   | 378.000       | 126.000   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/b3d9641e-061c-477b-8ea0-a663578c37bf/graph | 0.008 | 0.048 | 0.088   | 0.029 | 0.048 | 0.048 | 0.048 | 0.016  | 2160.000  | 2466.000  | 6988.000      | 2329.333  |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ce84a4c9-51bc-4fd5-95de-0fd6541269fb       | 0.028 | 0.028 | 0.028   | 0.028 | 0.028 | 0.028 | 0.028 | 0.000  | 117.000   | 117.000   | 117.000       | 117.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/d188fc16-d1ed-4f0e-a5d3-3fd9e1cad4a2       | 0.004 | 0.056 | 0.104   | 0.026 | 0.056 | 0.056 | 0.056 | 0.019  | 117.000   | 117.000   | 468.000       | 117.000   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/f38bc988-f7c2-4bc8-bcf6-b5d65fbbad17/graph | 0.000 | 0.076 | 0.076   | 0.025 | 0.076 | 0.076 | 0.076 | 0.036  | 1970.000  | 2734.000  | 6867.000      | 2289.000  |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/a7216054-0c37-4320-81fe-c6465ed7c306       | 0.024 | 0.024 | 0.024   | 0.024 | 0.024 | 0.024 | 0.024 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/d72c0da4-6bee-4838-857b-9fc17f893674/graph | 0.044 | 0.044 | 0.044   | 0.022 | 0.044 | 0.044 | 0.044 | 0.022  | 2935.000  | 3850.000  | 6785.000      | 3392.500  |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/b1b4d9a1-41a7-44dc-8802-503e13ed3fec/graph | 0.004 | 0.040 | 0.044   | 0.022 | 0.040 | 0.040 | 0.040 | 0.018  | 2162.000  | 2932.000  | 5094.000      | 2547.000  |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/d50a4403-3325-4ab2-abed-eb473398eaba/graph | 0.008 | 0.032 | 0.040   | 0.020 | 0.032 | 0.032 | 0.032 | 0.012  | 2360.000  | 2522.000  | 4882.000      | 2441.000  |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/ba2099f4-bc7e-4a67-8ea2-35dbe2a874a8/graph | 0.000 | 0.064 | 0.080   | 0.020 | 0.064 | 0.064 | 0.064 | 0.026  | 2162.000  | 2940.000  | 10670.000     | 2667.500  |
