+--------+-----+--------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 412    | 0   | 408    | 0   | 4   | 0   | POST   | /api/isu                                            | 0.048 | 0.544 | 57.495  | 0.140 | 0.244 | 0.280 | 0.412 | 0.080  | 15.000    | 141.000   | 49742.000    | 120.733   |
| 1      | 0   | 1      | 0   | 0   | 0   | POST   | /initialize                                         | 0.136 | 0.136 | 0.136   | 0.136 | 0.136 | 0.136 | 0.136 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 1      | 0   | 1      | 0   | 0   | 0   | GET    | /api/isu/fb822dae-af35-490c-b6b4-bf03fab0d5b1       | 0.032 | 0.032 | 0.032   | 0.032 | 0.032 | 0.032 | 0.032 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 3      | 0   | 3      | 0   | 0   | 0   | GET    | /api/isu/bc22c08a-b1df-488d-acde-cc6c9053e2da/graph | 0.016 | 0.056 | 0.096   | 0.032 | 0.056 | 0.056 | 0.056 | 0.017  | 424.000   | 566.000   | 1488.000     | 496.000   |
| 1      | 0   | 1      | 0   | 0   | 0   | GET    | /api/isu/c1b5abf5-8cc7-461c-af7f-235bbfe9cb4d       | 0.028 | 0.028 | 0.028   | 0.028 | 0.028 | 0.028 | 0.028 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 1      | 0   | 1      | 0   | 0   | 0   | GET    | /api/isu/fc1ec2fd-500a-4f82-aff5-009ceb56bbe1       | 0.028 | 0.028 | 0.028   | 0.028 | 0.028 | 0.028 | 0.028 | 0.000  | 117.000   | 117.000   | 117.000      | 117.000   |
| 11     | 0   | 11     | 0   | 0   | 0   | GET    | /api/isu/cbc3a11a-5d13-49f9-8db0-cf5fad74223c/graph | 0.024 | 0.168 | 0.272   | 0.025 | 0.044 | 0.168 | 0.168 | 0.047  | 265.000   | 906.000   | 5885.000     | 535.000   |
| 10     | 0   | 10     | 0   | 0   | 0   | GET    | /api/isu/ebb827fa-f50b-47bc-a971-8bd4973b9ea3/graph | 0.000 | 0.152 | 0.244   | 0.024 | 0.072 | 0.152 | 0.152 | 0.047  | 267.000   | 645.000   | 4689.000     | 468.900   |
| 10     | 0   | 10     | 0   | 0   | 0   | GET    | /api/isu/ebf1d233-4ba1-4921-8326-45e4e534cd24/graph | 0.000 | 0.100 | 0.236   | 0.024 | 0.056 | 0.100 | 0.100 | 0.030  | 379.000   | 737.000   | 5113.000     | 511.300   |
| 4      | 0   | 4      | 0   | 0   | 0   | GET    | /api/isu/c717dbbd-26ac-49eb-90f5-898be7508e5c/graph | 0.000 | 0.060 | 0.080   | 0.020 | 0.060 | 0.060 | 0.060 | 0.024  | 386.000   | 501.000   | 1704.000     | 426.000   |
| 1      | 0   | 1      | 0   | 0   | 0   | GET    | /api/isu/fd1322e2-c16b-4e6e-aee1-5316ceefcf4c       | 0.020 | 0.020 | 0.020   | 0.020 | 0.020 | 0.020 | 0.020 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 10     | 0   | 10     | 0   | 0   | 0   | GET    | /api/isu/fcc6c7fc-3926-4e63-9c9d-45d2867614ce       | 0.000 | 0.140 | 0.196   | 0.020 | 0.020 | 0.140 | 0.140 | 0.041  | 132.000   | 132.000   | 1320.000     | 132.000   |
| 7      | 0   | 7      | 0   | 0   | 0   | GET    | /api/isu/d62704f9-c66d-496a-88ec-6eef2c961a60       | 0.004 | 0.112 | 0.124   | 0.018 | 0.112 | 0.112 | 0.112 | 0.039  | 123.000   | 123.000   | 861.000      | 123.000   |
| 8      | 0   | 8      | 0   | 0   | 0   | GET    | /api/isu/b58489e6-3b5b-4cfa-909f-f1b1d726e940/graph | 0.004 | 0.064 | 0.140   | 0.018 | 0.064 | 0.064 | 0.064 | 0.020  | 421.000   | 669.000   | 4046.000     | 505.750   |
| 2      | 0   | 2      | 0   | 0   | 0   | GET    | /api/isu/e21988cf-1488-42ff-9e05-96eb353f6f7e/graph | 0.004 | 0.028 | 0.032   | 0.016 | 0.028 | 0.028 | 0.028 | 0.012  | 412.000   | 475.000   | 887.000      | 443.500   |
| 4      | 0   | 4      | 0   | 0   | 0   | GET    | /api/isu/eaaf2219-c200-4103-80bd-a2cdff9ec18b/graph | 0.000 | 0.056 | 0.064   | 0.016 | 0.056 | 0.056 | 0.056 | 0.023  | 436.000   | 724.000   | 2235.000     | 558.750   |
| 4      | 0   | 4      | 0   | 0   | 0   | GET    | /api/isu/cd41e55a-6ff5-4b8e-99dd-fa5b0af6a4fb/graph | 0.000 | 0.040 | 0.064   | 0.016 | 0.040 | 0.040 | 0.040 | 0.016  | 272.000   | 558.000   | 1861.000     | 465.250   |
| 2      | 0   | 2      | 0   | 0   | 0   | GET    | /api/isu/f6364762-6f92-40f6-a55e-18863585e843       | 0.004 | 0.028 | 0.032   | 0.016 | 0.028 | 0.028 | 0.028 | 0.012  | 126.000   | 126.000   | 252.000      | 126.000   |
| 14     | 0   | 14     | 0   | 0   | 0   | GET    | /api/isu/ee4d83a8-3b4f-48b1-b73c-f20d8ef23062/graph | 0.004 | 0.140 | 0.220   | 0.016 | 0.032 | 0.140 | 0.140 | 0.036  | 271.000   | 759.000   | 7757.000     | 554.071   |
| 8      | 0   | 8      | 0   | 0   | 0   | GET    | /api/isu/e0b9782d-ebc0-46bd-8933-2175283a5c5d/graph | 0.004 | 0.072 | 0.120   | 0.015 | 0.072 | 0.072 | 0.072 | 0.023  | 272.000   | 499.000   | 3439.000     | 429.875   |
| 2      | 0   | 2      | 0   | 0   | 0   | GET    | /api/isu/dd77a8aa-782d-406d-8708-fe4bd8e1d0e7/graph | 0.008 | 0.020 | 0.028   | 0.014 | 0.020 | 0.020 | 0.020 | 0.006  | 492.000   | 497.000   | 989.000      | 494.500   |
| 6      | 0   | 6      | 0   | 0   | 0   | GET    | /api/isu/e17f66bc-95ad-44c1-92c3-ed989908d58f/graph | 0.004 | 0.028 | 0.080   | 0.013 | 0.028 | 0.028 | 0.028 | 0.008  | 270.000   | 669.000   | 2650.000     | 441.667   |
| 3      | 0   | 3      | 0   | 0   | 0   | GET    | /api/isu/c91a9ccd-1aaf-408f-ac74-b516680df3b6/graph | 0.008 | 0.020 | 0.040   | 0.013 | 0.020 | 0.020 | 0.020 | 0.005  | 379.000   | 564.000   | 1376.000     | 458.667   |
| 3      | 0   | 3      | 0   | 0   | 0   | GET    | /api/isu/c1500be4-685c-41aa-8667-e4fff8bba843/graph | 0.000 | 0.040 | 0.040   | 0.013 | 0.040 | 0.040 | 0.040 | 0.019  | 371.000   | 582.000   | 1433.000     | 477.667   |
| 9      | 0   | 9      | 0   | 0   | 0   | GET    | /api/isu/e96a2862-e11a-49dd-a27d-3e333bb2a74e/graph | 0.008 | 0.060 | 0.120   | 0.013 | 0.060 | 0.060 | 0.060 | 0.019  | 264.000   | 731.000   | 4160.000     | 462.222   |
| 18     | 0   | 16     | 0   | 2   | 0   | GET    | /api/isu/cbc3a11a-5d13-49f9-8db0-cf5fad74223c       | 0.004 | 0.072 | 0.236   | 0.013 | 0.040 | 0.072 | 0.072 | 0.018  | 14.000    | 120.000   | 1955.000     | 108.611   |
| 4      | 0   | 4      | 0   | 0   | 0   | GET    | /api/isu/a701a3c1-ccd6-44c9-a93f-b34c44f220c7       | 0.000 | 0.048 | 0.052   | 0.013 | 0.048 | 0.048 | 0.048 | 0.020  | 123.000   | 123.000   | 492.000      | 123.000   |
| 6      | 0   | 6      | 0   | 0   | 0   | GET    | /api/isu/d03ae288-5ad0-4e99-98f8-51ee83a1e4a2/graph | 0.004 | 0.024 | 0.072   | 0.012 | 0.024 | 0.024 | 0.024 | 0.006  | 373.000   | 653.000   | 3055.000     | 509.167   |
