+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.132 | 0.132 | 0.132   | 0.132 | 0.132 | 0.132 | 0.132 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 55    | 0   | 51    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.052 | 0.084 | 2.892   | 0.053 | 0.064 | 0.068 | 0.084 | 0.016  | 15.000    | 134.000   | 6238.000     | 113.418   |
| 2     | 0   | 0     | 0   | 2    | 0   | GET    | /api/isu/d5226f7b-3c7b-477e-ba8b-3cc7a4012e9d       | 0.004 | 0.008 | 0.012   | 0.006 | 0.008 | 0.008 | 0.008 | 0.002  | 14.000    | 21.000    | 35.000       | 17.500    |
| 2     | 0   | 0     | 0   | 2    | 0   | GET    | /api/isu/ff9ace79-7a70-48ca-a1ac-468fa3d58eb4/icon  | 0.004 | 0.008 | 0.012   | 0.006 | 0.008 | 0.008 | 0.008 | 0.002  | 14.000    | 21.000    | 35.000       | 17.500    |
| 4     | 0   | 0     | 0   | 4    | 0   | GET    | /api/isu/eb104b95-3532-4828-8550-89da717b9667/icon  | 0.000 | 0.020 | 0.020   | 0.005 | 0.020 | 0.020 | 0.020 | 0.009  | 14.000    | 21.000    | 70.000       | 17.500    |
| 2     | 0   | 0     | 0   | 2    | 0   | GET    | /api/isu/c2ce0a4e-f269-4071-bad0-767adac0c85d/icon  | 0.000 | 0.008 | 0.008   | 0.004 | 0.008 | 0.008 | 0.008 | 0.004  | 14.000    | 21.000    | 35.000       | 17.500    |
| 4     | 0   | 0     | 0   | 4    | 0   | GET    | /api/isu/eb1ebd1d-ae05-46ae-9733-a01ed5feab0d/icon  | 0.008 | 0.008 | 0.016   | 0.004 | 0.008 | 0.008 | 0.008 | 0.004  | 14.000    | 21.000    | 70.000       | 17.500    |
| 293   | 0   | 293   | 0   | 0    | 0   | GET    | /api/isu/e49a7107-984c-4fd7-854c-0d873cd30dd2/graph | 0.004 | 0.020 | 0.816   | 0.003 | 0.008 | 0.008 | 0.016 | 0.004  | 271.000   | 967.000   | 204186.000   | 696.881   |
| 3     | 0   | 1     | 0   | 2    | 0   | GET    | /api/isu/b82dcff4-8fae-4773-9956-22ab354adb7e       | 0.004 | 0.004 | 0.008   | 0.003 | 0.004 | 0.004 | 0.004 | 0.002  | 14.000    | 119.000   | 154.000      | 51.333    |
| 313   | 0   | 313   | 0   | 0    | 0   | GET    | /api/isu/c72588a6-57cd-4534-baf6-ee87d8f60d51/graph | 0.000 | 0.024 | 0.800   | 0.003 | 0.008 | 0.008 | 0.016 | 0.004  | 273.000   | 898.000   | 206891.000   | 660.994   |
| 374   | 0   | 366   | 0   | 8    | 0   | GET    | /api/isu/c308d2a9-3427-4a93-a298-66fd65acb195/graph | 0.004 | 0.024 | 0.952   | 0.003 | 0.008 | 0.012 | 0.020 | 0.004  | 14.000    | 964.000   | 243841.000   | 651.981   |
| 312   | 0   | 312   | 0   | 0    | 0   | GET    | /api/isu/a1bbb8d8-777d-4706-af06-8925ef80ae18/graph | 0.000 | 0.020 | 0.776   | 0.002 | 0.008 | 0.008 | 0.012 | 0.003  | 273.000   | 977.000   | 205948.000   | 660.090   |
| 917   | 0   | 913   | 0   | 4    | 0   | GET    | /api/isu/e8a1f94e-a16a-43af-8ab0-a43de310dcdb/graph | 0.000 | 0.024 | 2.240   | 0.002 | 0.008 | 0.008 | 0.012 | 0.003  | 14.000    | 875.000   | 594040.000   | 647.808   |
| 511   | 0   | 511   | 0   | 0    | 0   | GET    | /api/isu/ca7659f0-89db-407f-8cf6-18bd5d13c685/graph | 0.004 | 0.028 | 1.248   | 0.002 | 0.008 | 0.008 | 0.016 | 0.004  | 273.000   | 921.000   | 333449.000   | 652.542   |
| 423   | 0   | 423   | 0   | 0    | 0   | GET    | /api/isu/bcb42ae8-cded-4110-a5d7-cd204f51c663/graph | 0.000 | 0.024 | 1.012   | 0.002 | 0.004 | 0.008 | 0.016 | 0.003  | 271.000   | 876.000   | 278167.000   | 657.605   |
| 717   | 0   | 713   | 0   | 4    | 0   | GET    | /api/isu/eb1ebd1d-ae05-46ae-9733-a01ed5feab0d/graph | 0.000 | 0.020 | 1.684   | 0.002 | 0.008 | 0.008 | 0.012 | 0.003  | 14.000    | 1027.000  | 468384.000   | 653.255   |
| 271   | 0   | 267   | 0   | 4    | 0   | GET    | /api/isu/b88e307c-f604-47b8-8cb9-441b15785523/graph | 0.000 | 0.020 | 0.628   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 14.000    | 835.000   | 173084.000   | 638.686   |
