+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.224 | 0.224 | 0.224   | 0.224 | 0.224 | 0.224 | 0.224 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 421    | 0   | 414    | 0   | 7    | 0   | POST   | /api/isu                                            | 0.048 | 0.544 | 58.876  | 0.140 | 0.248 | 0.292 | 0.436 | 0.084  | 0.000     | 143.000   | 50632.000    | 120.266   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f12b040b-1a33-4ac2-bfc1-9a371ff284d5       | 0.004 | 0.172 | 0.184   | 0.046 | 0.172 | 0.172 | 0.172 | 0.073  | 126.000   | 126.000   | 504.000      | 126.000   |
| 5      | 0   | 5      | 0   | 0    | 0   | GET    | /api/isu/c95c32fd-9b0d-4f27-a4c3-4c2015642b4e/graph | 0.004 | 0.172 | 0.188   | 0.038 | 0.172 | 0.172 | 0.172 | 0.067  | 380.000   | 526.000   | 2154.000     | 430.800   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/d682dc18-e86f-464f-be1b-6e4d44b05535/graph | 0.000 | 0.172 | 0.184   | 0.026 | 0.172 | 0.172 | 0.172 | 0.060  | 270.000   | 500.000   | 2847.000     | 406.714   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/fc5e642f-ccc0-4aa9-925b-28d6f3f1b742/graph | 0.004 | 0.064 | 0.080   | 0.020 | 0.064 | 0.064 | 0.064 | 0.025  | 382.000   | 723.000   | 2192.000     | 548.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/f8a386ba-2f45-40bd-bbf5-59eb515a5cac/graph | 0.008 | 0.032 | 0.040   | 0.020 | 0.032 | 0.032 | 0.032 | 0.012  | 426.000   | 527.000   | 953.000      | 476.500   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/c4d33d7c-c109-4d55-b0f6-45c0b27f961d       | 0.020 | 0.020 | 0.020   | 0.020 | 0.020 | 0.020 | 0.020 | 0.000  | 132.000   | 132.000   | 132.000      | 132.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/d7869aec-9aef-4af5-b78d-76f3d26f53f8       | 0.004 | 0.056 | 0.068   | 0.017 | 0.056 | 0.056 | 0.056 | 0.023  | 129.000   | 129.000   | 516.000      | 129.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/abb4a73d-4616-4ff4-b7c5-18607c50728e       | 0.004 | 0.064 | 0.068   | 0.017 | 0.064 | 0.064 | 0.064 | 0.027  | 112.000   | 112.000   | 448.000      | 112.000   |
