time:1789745545.483	method:POST	uri:/initialize	status:200	reqtime:0.158	apptime:0.156	reqid:36f6a232f3c7207c2bf5c05c541bfae1	uid:	size:23
time:1789745550.397	method:GET	uri:/	status:200	reqtime:0.001	apptime:0.000	reqid:bee9729a87c5c1bcd8588dc9eb8e1b36	uid:	size:528
time:1789745550.398	method:GET	uri:/assets/index.144d8ca8.css	status:200	reqtime:0.000	apptime:0.000	reqid:a353b0df20dd6b0aef327ef7f23e813b	uid:	size:19066
time:1789745550.399	method:GET	uri:/assets/index.23dac98b.js	status:200	reqtime:0.001	apptime:0.000	reqid:c8fa63831082086d8d81c4ff80b2fe9b	uid:	size:26667
time:1789745550.400	method:GET	uri:/assets/favicon.d0f5f504.svg	status:200	reqtime:0.002	apptime:0.004	reqid:52d45fecb93c21c27cbdc3e62674496b	uid:	size:592
time:1789745550.400	method:GET	uri:/assets/vendor.ee7444dd.js	status:200	reqtime:0.002	apptime:0.004	reqid:8a073a12302a9c27f132a80e5272e3ac	uid:	size:743417
time:1789745550.402	method:GET	uri:/assets/logo_white.svg	status:200	reqtime:0.000	apptime:0.000	reqid:f1f2b68d24a0dd7b9811a80009cbfec6	uid:	size:3285
time:1789745550.402	method:GET	uri:/assets/logo_orange.svg	status:200	reqtime:0.000	apptime:0.000	reqid:c754c74eb41d3fd6a159793804b4c1b7	uid:	size:3288
time:1789745550.403	method:GET	uri:/?jwt=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODk3NDU1ODAsImlhdCI6MTc4OTc0NTU0OSwiamlhX3VzZXJfaWQiOiJpc3Vjb24xIn0.x12_Ll_oggHpbgK1vtCsd9ENl0i__3AgkIwbregobzlJMwTL6oii7piBJZED53qrq21ygS4A2Nadhuv0IPph7Q	status:200	reqtime:0.000	apptime:0.000	reqid:039274b3d88162309b1220fc9a599c62	uid:	size:528
time:1789745550.415	method:POST	uri:/api/auth	status:200	reqtime:0.012	apptime:0.012	reqid:5c8d3b77a7ce592b1a8b947eb27f7311	uid:	size:0
time:1789745550.416	method:GET	uri:/api/user/me	status:200	reqtime:0.001	apptime:0.004	reqid:3a49705fe2d637c37425c24ecfe8abb6	uid:	size:31
time:1789745550.417	method:GET	uri:/	status:304	reqtime:0.000	apptime:0.000	reqid:546080ba22462a8e5d3c446ca90a9e2a	uid:	size:0
time:1789745550.417	method:GET	uri:/assets/index.23dac98b.js	status:304	reqtime:0.000	apptime:0.000	reqid:6b2ad4692f1aedf00a2ccdd6d584452b	uid:	size:0
time:1789745550.418	method:GET	uri:/assets/vendor.ee7444dd.js	status:304	reqtime:0.001	apptime:0.000	reqid:960853b523045dfc619266de8cb5ec50	uid:	size:0
time:1789745550.418	method:GET	uri:/assets/favicon.d0f5f504.svg	status:304	reqtime:0.001	apptime:0.000	reqid:aa7277f0b55415502fc6745126eb2824	uid:	size:0
time:1789745550.418	method:GET	uri:/assets/index.144d8ca8.css	status:304	reqtime:0.001	apptime:0.000	reqid:906b2d8d074d8a45099d57a05e6656c6	uid:	size:0
time:1789745550.419	method:GET	uri:/assets/logo_white.svg	status:304	reqtime:0.001	apptime:0.000	reqid:060dcfd176c324583b2acf324fcbb8e6	uid:	size:0
time:1789745550.422	method:GET	uri:/api/isu	status:200	reqtime:0.003	apptime:0.004	reqid:97c91edb61e1d2cd8f62b3b34b0ee8e5	uid:	size:2565
time:1789745550.423	method:GET	uri:/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a	status:200	reqtime:0.001	apptime:0.000	reqid:1326dd5aa85fe8e31a4cda23b56d8058	uid:	size:528
time:1789745550.423	method:GET	uri:/assets/index.23dac98b.js	status:304	reqtime:0.000	apptime:0.000	reqid:9c18d41305e029df49d12c1e6666b8bf	uid:	size:0
time:1789745550.423	method:GET	uri:/assets/favicon.d0f5f504.svg	status:304	reqtime:0.000	apptime:0.000	reqid:3bf760c9f6a5e4f3fc48ee3fa0cca0a2	uid:	size:0
time:1789745550.423	method:GET	uri:/assets/index.144d8ca8.css	status:304	reqtime:0.000	apptime:0.000	reqid:c97f29089fd29833e93965eb91508048	uid:	size:0
time:1789745550.423	method:GET	uri:/assets/vendor.ee7444dd.js	status:304	reqtime:0.000	apptime:0.000	reqid:db2978685c1b3f3701a85b9a3d8d3232	uid:	size:0
time:1789745550.424	method:GET	uri:/assets/logo_white.svg	status:304	reqtime:0.000	apptime:0.004	reqid:fd05b96db7fb5bdbcd2602dd41bb04b0	uid:	size:0
time:1789745550.425	method:GET	uri:/api/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a	status:200	reqtime:0.001	apptime:0.000	reqid:3bbead268ff96f83b6b3b2c838c56fa0	uid:	size:141
time:1789745550.426	method:GET	uri:/api/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/icon	status:200	reqtime:0.001	apptime:0.000	reqid:bd5178f664545a59be88907e25849ed7	uid:	size:9453
time:1789745550.427	method:GET	uri:/api/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/icon	status:200	reqtime:0.001	apptime:0.000	reqid:123e64e97ca89605451e6f526dcebbde	uid:	size:9453
time:1789745550.427	method:GET	uri:/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph	status:200	reqtime:0.000	apptime:0.000	reqid:9aa1226f5a02cfd58536aac098ee39c8	uid:	size:528
time:1789745550.427	method:GET	uri:/assets/vendor.ee7444dd.js	status:304	reqtime:0.000	apptime:0.000	reqid:24f7ae1caef0ef8931d9d649c315e2e1	uid:	size:0
time:1789745550.427	method:GET	uri:/assets/index.144d8ca8.css	status:304	reqtime:0.000	apptime:0.000	reqid:e3d2212d7bcfe7eca4bbbb46281edce5	uid:	size:0
time:1789745550.427	method:GET	uri:/assets/favicon.d0f5f504.svg	status:304	reqtime:0.000	apptime:0.000	reqid:7da8064f48e1fa5727538f5540fd3c0e	uid:	size:0
time:1789745550.428	method:GET	uri:/assets/index.23dac98b.js	status:304	reqtime:0.001	apptime:0.000	reqid:a9d2ce5e24df081540debd232e1fb1ab	uid:	size:0
time:1789745550.428	method:GET	uri:/assets/logo_white.svg	status:304	reqtime:0.000	apptime:0.004	reqid:6798a58c6f86c07b6d673f160221872b	uid:	size:0
time:1789745550.430	method:GET	uri:/api/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph?datetime=1622905200	status:200	reqtime:0.002	apptime:0.000	reqid:6b6a9b3af3de3dc67253dfcbcc7c4ed7	uid:	size:5306
