time:1789746032.567	method:POST	uri:/initialize	status:200	reqtime:0.151	apptime:0.148	reqid:a77a96e48f19aad167a3d726c39279ac	uid:	size:23
time:1789746037.483	method:GET	uri:/	status:200	reqtime:0.001	apptime:0.000	reqid:8b652769127b387e8db804e917367798	uid:	size:528
time:1789746037.485	method:GET	uri:/assets/index.144d8ca8.css	status:200	reqtime:0.001	apptime:0.004	reqid:3d744173ea70670ccd6083c872c3ff5e	uid:	size:19066
time:1789746037.485	method:GET	uri:/assets/favicon.d0f5f504.svg	status:200	reqtime:0.001	apptime:0.004	reqid:4c429518cdf44883143e85070aba5a5f	uid:	size:592
time:1789746037.486	method:GET	uri:/assets/vendor.ee7444dd.js	status:200	reqtime:0.002	apptime:0.004	reqid:87ca8b0d0109f998ecc2ed1a9923b5a0	uid:	size:743417
time:1789746037.486	method:GET	uri:/assets/index.23dac98b.js	status:200	reqtime:0.002	apptime:0.004	reqid:75755aa63a4bf3264cd26ab06e6bc5f2	uid:	size:26667
time:1789746037.489	method:GET	uri:/assets/logo_orange.svg	status:200	reqtime:0.000	apptime:0.000	reqid:75d6aefd32007765efe1574c5e2d605a	uid:	size:3288
time:1789746037.489	method:GET	uri:/assets/logo_white.svg	status:200	reqtime:0.001	apptime:0.000	reqid:313367621b0af4be86a4d0501b3ef63e	uid:	size:3285
time:1789746037.491	method:GET	uri:/?jwt=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODk3NDYwNjcsImlhdCI6MTc4OTc0NjAzNiwiamlhX3VzZXJfaWQiOiJpc3Vjb24xIn0.-wyN6mRKFFawQsAOOGZa4X-Dx7BfjNfo-Ef3AZaZH1685XKikwVoZB5qvWJN3B6sHGn1kcN6LqzIGwPIDbgCUA	status:200	reqtime:0.001	apptime:0.000	reqid:591bff0c1d0e6b5401f45a4d2b74c9cf	uid:	size:528
time:1789746037.493	method:POST	uri:/api/auth	status:200	reqtime:0.002	apptime:0.004	reqid:cecd9f09941610441140344e10fa50f1	uid:	size:0
time:1789746037.494	method:GET	uri:/api/user/me	status:200	reqtime:0.001	apptime:0.000	reqid:6b6e46d01763f0eacca7173d8634777d	uid:	size:31
time:1789746037.495	method:GET	uri:/	status:304	reqtime:0.000	apptime:0.000	reqid:118df14a8d5b6ef449136e877c4bd89a	uid:	size:0
time:1789746037.496	method:GET	uri:/assets/index.23dac98b.js	status:304	reqtime:0.001	apptime:0.004	reqid:37b9503af0c328fe4e4823bf44250ab5	uid:	size:0
time:1789746037.496	method:GET	uri:/assets/favicon.d0f5f504.svg	status:304	reqtime:0.001	apptime:0.004	reqid:21198fe88f8d40ff516677f576fd49a6	uid:	size:0
time:1789746037.496	method:GET	uri:/assets/index.144d8ca8.css	status:304	reqtime:0.001	apptime:0.004	reqid:1f83af6216e141c332d9b6c1ed143ed3	uid:	size:0
time:1789746037.496	method:GET	uri:/assets/vendor.ee7444dd.js	status:304	reqtime:0.000	apptime:0.004	reqid:ef9b1e83118921b43176a096dd558631	uid:	size:0
time:1789746037.497	method:GET	uri:/assets/logo_white.svg	status:304	reqtime:0.000	apptime:0.000	reqid:37131cfb44c93e6b7fd08bd4bc5099ce	uid:	size:0
time:1789746037.501	method:GET	uri:/api/isu	status:200	reqtime:0.004	apptime:0.004	reqid:b03dd61ffd19f2ad90d5200c2ca85cfd	uid:	size:2565
time:1789746037.502	method:GET	uri:/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a	status:200	reqtime:0.001	apptime:0.000	reqid:b6cdcba3ccf05ca6f70bc6ac9fddb26f	uid:	size:528
time:1789746037.502	method:GET	uri:/assets/vendor.ee7444dd.js	status:304	reqtime:0.000	apptime:0.000	reqid:c7ecce5068b0e4cf6efbf63ee965b030	uid:	size:0
time:1789746037.502	method:GET	uri:/assets/favicon.d0f5f504.svg	status:304	reqtime:0.000	apptime:0.000	reqid:8f14b8bc6b9157d695cc15e412598458	uid:	size:0
time:1789746037.502	method:GET	uri:/assets/index.144d8ca8.css	status:304	reqtime:0.000	apptime:0.000	reqid:bd848319a229a86884d5fb6311c53a35	uid:	size:0
time:1789746037.502	method:GET	uri:/assets/index.23dac98b.js	status:304	reqtime:0.000	apptime:0.000	reqid:d94fe9d86c61183c7658a3890c2daaa4	uid:	size:0
time:1789746037.503	method:GET	uri:/assets/logo_white.svg	status:304	reqtime:0.000	apptime:0.000	reqid:6b72fc5b031e3b1030c8bbf947021cc3	uid:	size:0
time:1789746037.504	method:GET	uri:/api/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a	status:200	reqtime:0.001	apptime:0.000	reqid:d78c155c18c08d02aeeed7fbdbec2181	uid:	size:141
time:1789746037.504	method:GET	uri:/api/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/icon	status:200	reqtime:0.000	apptime:0.004	reqid:ec333a6a83ed0239a694cb4737384b1c	uid:	size:9453
time:1789746037.505	method:GET	uri:/api/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/icon	status:200	reqtime:0.000	apptime:0.000	reqid:4bf95e72508cdfc6a3a2b7e831cc9c31	uid:	size:9453
time:1789746037.506	method:GET	uri:/isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph	status:200	reqtime:0.001	apptime:0.000	reqid:6ac0285c5ff974b89717b9dc897b22b8	uid:	size:528
time:1789746037.506	method:GET	uri:/assets/vendor.ee7444dd.js	status:304	reqtime:0.000	apptime:0.000	reqid:4efe6bd50de3ce2e6494a319e94a6738	uid:	size:0
time:1789746037.506	method:GET	uri:/assets/favicon.d0f5f504.svg	status:304	reqtime:0.000	apptime:0.000	reqid:a02f55ea1552867b595710594977636b	uid:	size:0
time:1789746037.506	method:GET	uri:/assets/index.23dac98b.js	status:304	reqtime:0.000	apptime:0.000	reqid:d31b9c784e3fc498ad0f240de5074674	uid:	size:0
time:1789746037.506	method:GET	uri:/assets/index.144d8ca8.css	status:304	reqtime:0.000	apptime:0.000	reqid:9e796b85c8a378c3fafd64c9f4448a07	uid:	size:0
